compound,icsd,sg,sgname,T11,T22,T33,T12,T13,T23,kappaLmin,kappaLmax,type
Cl3Ru1,icsd_020717,151,trigonal,7.41,7.41,1.50,0.00,0.00,0.00,1.50,7.41,vdW
Cl3Y1,icsd_015684,12,monoclinic,2.98,3.16,1.58,0.00,1.11,0.00,0.97,3.59,vdW
Cl3Zr1,icsd_043292,162,trigonal,1.55,1.55,0.86,0.00,0.00,0.00,0.86,1.55,vdW
Cl4Mo1,icsd_035139,162,trigonal,1.89,1.89,1.38,0.00,0.00,0.00,1.38,1.89,vdW
Cl4Zr1,icsd_026049,13,monoclinic,1.89,1.89,3.86,0.00,0.07,0.00,1.89,3.86,vdW
Cl8Nb3,icsd_408645,164,trigonal,9.39,9.39,1.73,0.00,0.00,0.00,1.73,9.39,vdW
Co1F3,icsd_029133,150,trigonal,20.48,20.48,47.52,0.00,0.00,0.00,20.48,47.52,vdW
Co1I2,icsd_052368,164,trigonal,11.13,11.13,1.46,0.00,0.00,0.00,1.46,11.13,vdW
Co1O2,icsd_088722,164,trigonal,164.92,164.92,5.29,0.00,0.00,0.00,5.29,164.92,vdW
Co1Se1,icsd_162902,129,tetragonal,5.21,5.21,1.16,0.00,0.00,0.00,1.16,5.21,vdW
Co1Te2,icsd_625401,164,trigonal,21.60,21.60,4.24,0.00,0.00,0.00,4.24,21.60,vdW
Cr1F2,icsd_031827,14,monoclinic,63.66,76.98,86.91,0.00,17.75,0.00,54.10,96.47,vdW
Cr1Se1,icsd_162899,129,tetragonal,4.02,4.02,1.15,0.00,0.00,0.00,1.15,4.02,vdW
Cr1Se2,icsd_626718,164,trigonal,32.30,32.30,2.53,0.00,0.00,0.00,2.53,32.30,vdW
Cs2O1,icsd_027919,166,trigonal,1.75,1.75,0.69,0.00,0.00,0.00,0.69,1.75,vdW
Cs2Te3,icsd_053245,36,orthorhombic,0.76,0.65,0.69,0.00,0.00,0.00,0.65,0.76,vdW
Cu1I1,icsd_030363,156,trigonal,1.77,1.77,0.92,0.00,0.00,0.00,0.92,1.78,vdW
Cu1I1,icsd_080232,164,trigonal,3.62,3.62,1.32,0.00,0.00,0.00,1.32,3.62,vdW
Cu1I1,icsd_084217,156,trigonal,3.62,3.62,1.32,0.00,0.00,0.00,1.32,3.62,vdW
Cu1S1,icsd_063328,63,orthorhombic,6.80,7.95,9.19,0.00,0.00,0.00,6.80,9.19,vdW
Cu1Te1,icsd_043273,59,orthorhombic,3.44,2.52,0.87,0.00,0.00,0.00,0.87,3.44,vdW
F1Tl1,icsd_016113,28,orthorhombic,1.62,1.05,0.93,0.00,0.00,0.00,0.93,1.62,vdW
F1Tl1,icsd_028495,139,tetragonal,1.23,1.23,1.74,0.00,0.00,0.00,1.23,1.74,vdW
F1Tl1,icsd_030268,69,orthorhombic,5.73,5.73,5.73,0.00,0.00,0.00,5.73,5.73,vdW
F2Zn1,icsd_020364,60,orthorhombic,13.16,14.75,17.41,0.00,0.00,0.00,13.16,17.41,vdW
F3Fe1,icsd_029132,150,trigonal,12.18,12.18,38.33,0.00,0.00,0.00,12.18,38.33,vdW
F3Pd1,icsd_029135,150,trigonal,4.33,4.33,11.69,0.00,0.00,0.00,4.33,11.69,vdW
F3Rh1,icsd_029134,150,trigonal,10.04,10.04,22.40,0.00,0.00,0.00,10.04,22.40,vdW
F4Nb1,icsd_023949,139,tetragonal,161.38,161.38,5.91,0.00,0.00,0.00,5.91,161.38,vdW
F4Pb1,icsd_016795,139,tetragonal,81.20,81.20,3.16,0.00,0.00,0.00,3.16,81.20,vdW
F4Sn1,icsd_016794,139,tetragonal,158.27,158.27,6.44,0.00,0.00,0.00,6.44,158.27,vdW
F4Te1,icsd_009869,19,orthorhombic,1.70,2.41,1.71,0.00,0.00,0.00,1.70,2.41,vdW
F8Sn3,icsd_032592,14,monoclinic,1.79,2.60,4.03,0.00,0.01,0.00,1.79,4.03,vdW
F8Sn3,icsd_061162,14,monoclinic,1.79,2.60,4.02,0.00,0.01,0.00,1.79,4.03,vdW
Fe1I2,icsd_052369,164,trigonal,18.96,18.96,1.15,0.00,0.00,0.00,1.15,18.96,vdW
Fe1S1,icsd_182250,129,tetragonal,15.16,15.16,2.26,0.00,0.00,0.00,2.26,15.16,vdW
Fe1Se1,icsd_169257,129,tetragonal,2.29,2.29,0.91,0.00,0.00,0.00,0.91,2.29,vdW
Fe1Te1,icsd_044753,129,tetragonal,2.32,2.32,0.94,0.00,0.00,0.00,0.94,2.32,vdW
Fe2N1,icsd_020390,164,trigonal,101.60,101.60,184.57,0.00,0.00,0.00,101.60,184.57,vdW
Fe3S4,icsd_042537,166,trigonal,14.03,14.03,4.32,0.00,0.00,0.00,4.32,14.03,vdW
