compound,icsd,sg,sgname,T11,T22,T33,T12,T13,T23,kappaLmin,kappaLmax,type
In2Mn2Se5,icsd_066323,166,trigonal,4.08,4.08,1.42,0.00,0.00,0.00,1.42,4.08,vdW
In2S4Zn1,icsd_016200,186,hexagonal,5.06,5.06,2.38,0.00,0.00,0.00,2.38,5.06,vdW
In2S4Zn1,icsd_044637,156,trigonal,8.97,8.97,3.62,0.00,0.00,0.00,3.62,8.97,vdW
In2S4Zn1,icsd_640407,160,trigonal,8.61,8.61,3.73,0.00,0.00,0.00,3.73,8.61,vdW
In2S4Zn1,icsd_660273,164,trigonal,4.55,4.55,1.38,0.00,0.00,0.00,1.38,4.55,vdW
In2S5Zn2,icsd_042443,186,hexagonal,4.26,4.26,3.56,0.00,0.00,0.00,3.56,4.26,vdW
In2S5Zn2,icsd_042666,160,trigonal,6.96,6.96,5.77,0.00,0.00,0.00,5.77,6.96,vdW
In2S6Zn3,icsd_068645,156,trigonal,6.32,6.32,5.15,0.00,0.00,0.00,5.15,6.32,vdW
K1N7P4,icsd_410630,62,orthorhombic,9.77,8.61,11.60,0.00,0.00,0.00,8.61,11.60,vdW
K1Na1O1,icsd_032743,129,tetragonal,2.21,2.21,1.99,0.00,0.00,0.00,1.99,2.21,vdW
K1O1Tl1,icsd_001570,12,monoclinic,1.50,2.69,2.52,0.00,0.48,0.00,1.31,2.71,vdW
K1O2Sb1,icsd_411214,15,monoclinic,2.06,1.13,3.25,0.00,0.66,0.00,1.13,3.54,vdW
K1O3P1,icsd_026148,62,orthorhombic,1.63,4.13,2.44,0.00,0.00,0.00,1.63,4.13,vdW
K1O3Sb1,icsd_033546,148,trigonal,11.17,11.17,28.28,0.00,0.00,0.00,11.17,28.28,vdW
K2Mo2O7,icsd_020133,2,triclinic,1.75,2.37,1.68,0.91,0.81,0.00,0.65,3.18,vdW
K2O6S3,icsd_030990,62,orthorhombic,1.83,1.50,1.58,0.00,0.00,0.00,1.50,1.83,vdW
K2Sb4Se8,icsd_402886,2,triclinic,0.98,1.45,1.17,0.80,0.56,0.00,0.17,2.18,vdW
K3S4V1,icsd_074678,62,orthorhombic,1.52,1.68,1.80,0.00,0.00,0.00,1.52,1.80,vdW
La1Se1Te2,icsd_413172,63,orthorhombic,2.45,1.19,2.45,0.00,0.00,0.00,1.19,2.45,vdW
Li1Mn1O2,icsd_081049,59,orthorhombic,39.50,28.62,57.49,0.00,0.00,0.00,28.62,57.49,vdW
Li1O2Sb1,icsd_262075,14,monoclinic,1.69,1.57,2.15,0.00,0.96,0.00,0.93,2.91,vdW
Li2Mn2O4,icsd_202500,141,tetragonal,11.05,11.05,16.91,0.00,0.00,0.00,11.05,16.91,vdW
Li2O3Te1,icsd_004317,15,monoclinic,2.26,5.15,2.21,0.00,1.17,0.00,1.06,5.15,vdW
Li2O3Te1,icsd_038416,12,monoclinic,2.87,8.10,2.77,0.00,1.75,0.00,1.07,8.10,vdW
Li7O6Sb1,icsd_015631,146,trigonal,9.69,9.69,10.93,0.00,0.00,0.00,9.69,10.93,vdW
Mg2P2S6,icsd_413164,12,monoclinic,21.26,21.41,2.88,0.00,6.09,0.00,1.06,23.07,vdW
Mg2P2Se6,icsd_642731,148,trigonal,7.48,7.48,1.44,0.00,0.00,0.00,1.44,7.49,vdW
Mn1P1S3,icsd_061391,12,monoclinic,30.80,18.95,2.85,0.00,6.27,0.00,1.54,32.11,vdW
Mn1P1Se3,icsd_054140,148,trigonal,11.90,11.90,1.56,0.00,0.00,0.00,1.56,11.90,vdW
Mn1P1Ta1,icsd_085947,62,orthorhombic,5.37,4.79,5.30,0.00,0.00,0.00,4.79,5.37,vdW
Mn1S4Sb2,icsd_056379,62,orthorhombic,3.04,3.38,6.08,0.00,0.00,0.00,3.04,6.08,vdW
Mn1Si1Y1,icsd_643705,129,tetragonal,2.64,2.64,2.92,0.00,0.00,0.00,2.64,2.92,vdW
Mo1N1Ta1,icsd_100437,129,tetragonal,87.29,87.29,82.31,0.00,0.00,0.00,82.31,87.30,vdW
Mo1O4Pb1,icsd_077336,88,tetragonal,2.74,2.74,2.21,0.00,0.00,0.00,2.21,2.74,vdW
Mo1O4Sr2,icsd_152123,139,tetragonal,127.79,127.79,78.20,0.00,0.00,0.00,78.20,127.79,vdW
Mo1O5V1,icsd_027315,85,tetragonal,13.69,13.69,2.53,0.00,0.00,0.00,2.53,13.69,vdW
Mo1O8V2,icsd_025378,35,orthorhombic,119.95,103.38,12.20,0.00,0.00,0.00,12.20,119.95,vdW
Mo2O8Zr1,icsd_280436,12,monoclinic,5.85,20.74,2.91,0.00,2.73,0.00,1.27,20.74,vdW
N1Na1Sn1,icsd_172471,186,hexagonal,20.31,20.31,6.15,0.00,0.00,0.00,6.15,20.31,vdW
N7P4Rb1,icsd_410631,62,orthorhombic,6.55,6.33,7.36,0.00,0.00,0.00,6.33,7.36,vdW
N9P1S1,icsd_261980,14,monoclinic,1.67,1.58,1.65,0.00,0.86,0.00,0.80,2.52,vdW
Na1P1Sn1,icsd_409010,186,hexagonal,9.08,9.08,3.02,0.00,0.00,0.00,3.02,9.08,vdW
Na2O4Pd3,icsd_006157,71,orthorhombic,13.95,14.39,4.18,0.00,0.00,0.00,4.18,14.40,vdW
Nb1O5P1,icsd_024110,85,tetragonal,33.51,33.51,16.76,0.00,0.00,0.00,16.76,33.51,vdW
Nb1O5P1,icsd_051148,129,tetragonal,79.13,79.13,19.29,0.00,0.00,0.00,19.29,79.13,vdW
Nb1Pd1Te5,icsd_068103,62,orthorhombic,2.33,1.98,0.81,0.00,0.00,0.00,0.81,2.33,vdW
Nb2Ni2Te4,icsd_084209,28,orthorhombic,2.11,1.47,0.85,0.00,0.00,0.00,0.85,2.11,vdW
Nb3Si1Te6,icsd_071681,62,orthorhombic,1.77,0.98,1.64,0.00,0.00,0.00,0.98,1.77,vdW
Ni1O3Ti1,icsd_033856,148,trigonal,51.03,51.03,41.64,0.00,0.00,0.00,41.64,51.03,vdW
Ni1P1S3,icsd_646140,169,hexagonal,4.16,4.16,3.76,0.00,0.00,0.00,3.76,4.16,vdW
Ni1P1Se3,icsd_646146,169,hexagonal,1.64,1.64,3.27,0.00,0.00,0.00,1.64,3.27,vdW
Ni1S5Ta2,icsd_061147,63,orthorhombic,3.27,0.90,3.87,0.00,0.00,0.00,0.90,3.87,vdW
Ni1Se5Ta2,icsd_061148,15,monoclinic,2.24,0.79,2.66,0.00,1.11,0.00,0.79,3.58,vdW
Ni1Se7Ta2,icsd_041619,12,monoclinic,1.12,3.34,2.19,0.00,0.16,0.00,1.09,3.34,vdW
Ni2Sb1Te2,icsd_099117,194,hexagonal,2.90,2.90,1.77,0.00,0.00,0.00,1.77,2.90,vdW
Ni2Ta1Te2,icsd_066346,62,orthorhombic,1.71,1.63,0.76,0.00,0.00,0.00,0.76,1.71,vdW
Ni2Ta1Te3,icsd_082605,11,monoclinic,0.89,1.36,1.46,0.00,0.80,0.00,0.33,2.03,vdW
Ni2Ta2Te4,icsd_071063,53,orthorhombic,1.89,0.78,1.29,0.00,0.00,0.00,0.78,1.89,vdW
Ni2Ta2Te4,icsd_071842,28,orthorhombic,1.89,1.28,0.78,0.00,0.00,0.00,0.78,1.89,vdW
O2Rb1Sb1,icsd_411216,15,monoclinic,1.51,0.93,2.36,0.00,0.44,0.00,0.93,2.54,vdW
O3Pb1Rb2,icsd_001413,36,orthorhombic,3.12,2.75,6.39,0.00,0.00,0.00,2.75,6.39,vdW
O3Pb1Se1,icsd_098376,11,monoclinic,2.21,2.18,1.90,0.00,1.45,0.00,0.60,3.50,vdW
O3Pb1V1,icsd_152277,99,tetragonal,64.91,64.91,83.34,0.00,0.00,0.00,64.91,83.34,vdW
O3Pd1Se1,icsd_415955,12,monoclinic,2.62,12.33,3.21,0.00,1.48,0.00,1.40,12.33,vdW
O3Sb1Tl1,icsd_004123,163,trigonal,4.23,4.23,0.99,0.00,0.00,0.00,0.99,4.23,vdW
O3Sb1Tl1,icsd_010142,182,hexagonal,3.11,3.11,0.96,0.00,0.00,0.00,0.96,3.11,vdW
O3Si1Zn1,icsd_167186,148,trigonal,113.61,113.61,52.01,0.00,0.00,0.00,52.01,113.61,vdW
O4S1Sn1,icsd_002748,62,orthorhombic,2.61,3.61,3.41,0.00,0.00,0.00,2.61,3.61,vdW
O4S1Sn1,icsd_245905,14,monoclinic,2.61,3.62,3.41,0.00,1.32,0.00,1.64,4.38,vdW
O4Sn1Sr2,icsd_150386,64,orthorhombic,11.28,11.18,14.54,0.00,0.00,0.00,11.18,14.54,vdW
O4W1Zn1,icsd_162237,15,monoclinic,17.85,1.64,7.86,0.00,6.08,0.00,1.64,20.72,vdW
O5P1Ta1,icsd_087281,85,tetragonal,30.45,30.45,22.21,0.00,0.00,0.00,22.21,30.45,vdW
O5Sb2V1,icsd_203130,62,orthorhombic,6.10,1.96,5.37,0.00,0.00,0.00,1.96,6.10,vdW
O6Pb1V2,icsd_036464,12,monoclinic,4.20,19.61,4.64,0.00,0.05,0.00,4.20,19.61,vdW
O8P2W1,icsd_050741,62,orthorhombic,3.07,16.23,11.25,0.00,0.00,0.00,3.07,16.23,vdW
O9S1Zr3,icsd_068335,147,trigonal,6.11,6.11,1.58,0.00,0.00,0.00,1.58,6.11,vdW
P1S3Zn1,icsd_079557,12,monoclinic,14.68,15.10,2.05,0.00,4.55,0.00,0.61,16.13,vdW
P1Sn1Sr1,icsd_063594,129,tetragonal,1.53,1.53,4.63,0.00,0.00,0.00,1.53,4.63,vdW
P1Te2Zr2,icsd_420650,166,trigonal,6.48,6.48,1.32,0.00,0.00,0.00,1.32,6.48,vdW
P2Pd3S8,icsd_016296,164,trigonal,1.82,1.82,2.49,0.00,0.00,0.00,1.82,2.49,vdW
P2S6Sn2,icsd_648055,148,trigonal,3.20,3.20,1.44,0.00,0.00,0.00,1.44,3.20,vdW
P2S6Zn2,icsd_201933,12,monoclinic,14.68,15.10,2.05,0.00,4.54,0.00,0.61,16.12,vdW
P2Se6Zn2,icsd_413166,148,trigonal,8.43,8.43,1.42,0.00,0.00,0.00,1.42,8.43,vdW
Pb2Pd3Te2,icsd_163134,59,orthorhombic,1.38,1.24,0.91,0.00,0.00,0.00,0.91,1.38,vdW
Pb2S4Si1,icsd_016317,14,monoclinic,1.46,1.18,1.60,0.00,0.69,0.00,0.84,2.22,vdW
Pd1S6Ta2,icsd_061004,12,monoclinic,7.62,16.92,3.08,0.00,-0.01,0.00,3.08,16.93,vdW
Pd1Se6Ta2,icsd_061005,12,monoclinic,3.74,6.99,1.96,0.00,0.15,0.00,1.95,6.99,vdW
Pt1Se7Ta2,icsd_061353,12,monoclinic,1.02,3.51,2.28,0.00,0.06,0.00,1.02,3.51,vdW
Pt4Se6Tl2,icsd_078785,164,trigonal,2.05,2.05,0.87,0.00,0.00,0.00,0.87,2.05,vdW
Pt4Te6Tl2,icsd_078787,164,trigonal,3.02,3.02,1.04,0.00,0.00,0.00,1.04,3.02,vdW
Rb1S2Sn1,icsd_023449,160,trigonal,1.19,1.19,2.50,0.00,0.00,0.00,1.19,2.50,vdW
Rb1S2Ti1,icsd_077990,160,trigonal,8.83,8.83,20.45,0.00,0.00,0.00,8.83,20.45,vdW
Rb2Sb4Se8,icsd_402887,2,triclinic,0.97,1.37,1.15,0.75,0.58,0.00,0.17,2.09,vdW
Rh1Ta1Te4,icsd_656453,31,orthorhombic,2.57,2.46,0.99,0.00,0.00,0.00,0.99,2.57,vdW
Ru1Ta1Te4,icsd_656452,31,orthorhombic,2.04,2.05,0.96,0.00,0.00,0.00,0.96,2.05,vdW
S2Sb1Tl1,icsd_035498,2,triclinic,1.00,0.94,1.51,0.49,0.35,0.00,0.43,1.77,vdW
S6Si2Tl4,icsd_035041,2,triclinic,1.10,0.99,1.29,0.45,0.50,0.00,0.44,1.82,vdW
Sb1Se2Tl1,icsd_036537,4,monoclinic,1.40,1.68,0.98,0.00,0.70,0.00,0.46,1.93,vdW
Sb2Se1Te2,icsd_002085,166,trigonal,3.91,3.91,1.67,0.00,0.00,0.00,1.67,3.91,vdW
Sb2Se2Te1,icsd_052295,166,trigonal,4.23,4.23,1.94,0.00,0.00,0.00,1.94,4.23,vdW
Sb2Se2Te1,icsd_060963,160,trigonal,4.39,4.39,1.77,0.00,0.00,0.00,1.77,4.39,vdW
Se4Ti1Zr1,icsd_104188,10,monoclinic,1.53,10.08,10.06,0.00,-0.70,0.00,1.47,10.12,vdW
Se6Si2Tl4,icsd_035042,2,triclinic,0.85,0.77,0.92,0.39,0.44,0.00,0.27,1.44,vdW
Si1Ta3Te6,icsd_075617,62,orthorhombic,1.72,0.87,1.65,0.00,0.00,0.00,0.87,1.72,vdW
Si1Te1Zr1,icsd_652388,129,tetragonal,7.75,7.75,2.67,0.00,0.00,0.00,2.67,7.75,vdW
Ag1Al1S2,icsd_025356,156,trigonal,9.85,9.85,16.32,0.00,0.00,0.00,9.85,16.32,ionic
Ag1As1Ba1,icsd_008278,194,hexagonal,1.32,1.32,1.07,0.00,0.00,0.00,1.07,1.32,ionic
Ag1As1Se2,icsd_020087,166,trigonal,3.56,3.56,2.11,0.00,0.00,0.00,2.11,3.56,ionic
Ag1As1Sr1,icsd_049742,194,hexagonal,1.49,1.49,1.18,0.00,0.00,0.00,1.18,1.49,ionic
Ag1As2La1,icsd_420609,57,orthorhombic,1.75,1.68,1.52,0.00,0.00,0.00,1.52,1.75,ionic
Ag1Ba1Bi1,icsd_056978,194,hexagonal,0.89,0.89,0.75,0.00,0.00,0.00,0.75,0.89,ionic
Ag1Ba1P1,icsd_041706,194,hexagonal,1.81,1.81,1.34,0.00,0.00,0.00,1.34,1.81,ionic
Ag1Ba1Sb1,icsd_056981,194,hexagonal,1.40,1.40,0.95,0.00,0.00,0.00,0.95,1.41,ionic
Ag1Bi1Ca1,icsd_416283,186,hexagonal,1.15,1.15,1.10,0.00,0.00,0.00,1.10,1.16,ionic
Ag1Bi1Ca1,icsd_659377,194,hexagonal,0.95,0.95,0.75,0.00,0.00,0.00,0.75,0.95,ionic
Ag1Bi1S2,icsd_044340,164,trigonal,1.73,1.73,1.21,0.00,0.00,0.00,1.21,1.73,ionic
Ag1Bi1Se2,icsd_026518,166,trigonal,1.40,1.40,2.15,0.00,0.00,0.00,1.40,2.15,ionic
Ag1Bi1Se2,icsd_604855,164,trigonal,1.47,1.47,1.11,0.00,0.00,0.00,1.11,1.47,ionic
Ag1Bi1Sr1,icsd_057019,194,hexagonal,1.08,1.08,0.77,0.00,0.00,0.00,0.77,1.08,ionic
Ag1Bi1Te2,icsd_043266,166,trigonal,1.70,1.70,1.25,0.00,0.00,0.00,1.25,1.70,ionic
Ag1Bi6S9,icsd_069456,12,monoclinic,1.34,1.59,1.18,0.00,0.38,0.00,0.87,1.65,ionic
Ag1Br2Cs1,icsd_040480,63,orthorhombic,0.57,0.57,0.67,0.00,0.00,0.00,0.57,0.67,ionic
Ag1Br2Cs1,icsd_150302,129,tetragonal,0.56,0.56,0.56,0.00,0.00,0.00,0.56,0.56,ionic
Ag1Br5Pb2,icsd_300100,15,monoclinic,0.91,0.75,0.79,0.00,0.40,0.00,0.45,1.25,ionic
Ag1Cl2Cs1,icsd_150299,63,orthorhombic,0.69,0.70,0.81,0.00,0.00,0.00,0.69,0.81,ionic
Ag1Cl2Cs1,icsd_150300,129,tetragonal,0.67,0.67,0.70,0.00,0.00,0.00,0.67,0.70,ionic
Ag1Cs2F4,icsd_016254,139,tetragonal,0.93,0.93,0.99,0.00,0.00,0.00,0.93,0.99,ionic
Ag1Fe1Te2,icsd_043278,164,trigonal,1.36,1.36,1.24,0.00,0.00,0.00,1.24,1.36,ionic
Ag1Ge1La1,icsd_056985,186,hexagonal,1.94,1.94,1.40,0.00,0.00,0.00,1.40,1.94,ionic
Ag1In1S2,icsd_659385,166,trigonal,4.06,4.06,2.53,0.00,0.00,0.00,2.53,4.06,ionic
Ag1K1Se1,icsd_052586,129,tetragonal,1.00,1.00,0.91,0.00,0.00,0.00,0.91,1.00,ionic
Ag1La1Sb2,icsd_095223,129,tetragonal,1.61,1.61,1.15,0.00,0.00,0.00,1.15,1.61,ionic
Ag1O3Sb1,icsd_245292,148,trigonal,5.00,5.00,1.63,0.00,0.00,0.00,1.63,5.01,ionic
Ag1O3Ta1,icsd_040830,161,trigonal,3.87,3.87,3.52,0.00,0.00,0.00,3.52,3.87,ionic
Ag1P1Sr1,icsd_052596,194,hexagonal,2.26,2.26,1.48,0.00,0.00,0.00,1.48,2.26,ionic
Ag1Sb1Sr1,icsd_056990,194,hexagonal,0.90,0.90,1.05,0.00,0.00,0.00,0.90,1.05,ionic
Ag1Sb1Te2,icsd_170663,166,trigonal,2.01,2.01,1.35,0.00,0.00,0.00,1.35,2.01,ionic
Ag1Sc6Te2,icsd_094859,62,orthorhombic,1.98,1.99,1.96,0.00,0.00,0.00,1.96,1.99,ionic
Ag1Sn1Y1,icsd_245234,186,hexagonal,2.05,2.05,1.84,0.00,0.00,0.00,1.84,2.05,ionic
Ag1Te2Tl1,icsd_043284,119,tetragonal,0.75,0.75,1.24,0.00,0.00,0.00,0.75,1.24,ionic
Ag1Te2Tl3,icsd_061680,14,monoclinic,0.58,0.55,0.65,0.00,0.26,0.00,0.35,0.88,ionic
Ag1Te2Y1,icsd_605920,113,tetragonal,1.92,1.92,1.59,0.00,0.00,0.00,1.59,1.92,ionic
Ag1Te2Y6,icsd_160181,62,orthorhombic,1.52,1.52,1.51,0.00,0.00,0.00,1.51,1.52,ionic
Ag2Ba1Ge2,icsd_025318,139,tetragonal,1.34,1.34,1.39,0.00,0.00,0.00,1.34,1.39,ionic
Ag2Ba1S2,icsd_050183,164,trigonal,2.62,2.62,2.70,0.00,0.00,0.00,2.62,2.70,ionic
Ag2Ba1Sn2,icsd_025332,139,tetragonal,1.02,1.02,0.90,0.00,0.00,0.00,0.90,1.02,ionic
Ag2Ca4Si6,icsd_410522,69,orthorhombic,3.44,3.53,1.98,0.00,0.00,0.00,1.98,3.53,ionic
Ag2Cs1I3,icsd_014202,62,orthorhombic,0.46,0.42,0.52,0.00,0.00,0.00,0.42,0.52,ionic
Ag2Cu2O3,icsd_087609,141,tetragonal,5.70,5.70,16.00,0.00,0.00,0.00,5.70,16.00,ionic
Ag2Hf1S3,icsd_079251,64,orthorhombic,1.99,2.26,1.70,0.00,0.00,0.00,1.70,2.26,ionic
Ag2La1Si2,icsd_052587,139,tetragonal,2.03,2.03,2.37,0.00,0.00,0.00,2.03,2.37,ionic
Ag2S3Si1,icsd_180764,14,monoclinic,1.87,1.16,1.87,0.00,1.47,0.00,0.40,3.34,ionic
Ag2Si2Sr1,icsd_025330,139,tetragonal,1.82,1.82,2.17,0.00,0.00,0.00,1.82,2.17,ionic
Ag2Sn2Sr1,icsd_000414,139,tetragonal,1.02,1.02,1.08,0.00,0.00,0.00,1.02,1.08,ionic
Ag3As2K3,icsd_032016,166,trigonal,0.87,0.87,0.92,0.00,0.00,0.00,0.87,0.92,ionic
Ag3Cs1S2,icsd_001033,12,monoclinic,0.91,0.90,0.84,0.00,0.52,0.00,0.35,1.40,ionic
Ag3Cs1Se2,icsd_052558,12,monoclinic,0.79,0.81,0.73,0.00,0.44,0.00,0.33,1.20,ionic
Ag3K1Se2,icsd_402643,12,monoclinic,0.84,0.90,0.70,0.00,0.54,0.00,0.22,1.31,ionic
Ag3Rb1S2,icsd_001034,12,monoclinic,0.98,0.95,0.85,0.00,0.59,0.00,0.32,1.51,ionic
Ag3Rb1Se2,icsd_090795,12,monoclinic,0.82,0.85,0.73,0.00,0.48,0.00,0.29,1.25,ionic
Ag3Rb1Te2,icsd_090872,12,monoclinic,0.70,0.74,0.65,0.00,0.38,0.00,0.29,1.05,ionic
Ag3S2Tl1,icsd_075976,60,orthorhombic,0.71,0.86,0.89,0.00,0.00,0.00,0.71,0.89,ionic
Ag5O6Pb2,icsd_024038,157,trigonal,3.52,3.52,6.78,0.00,0.00,0.00,3.52,6.78,ionic
Ag5O6Pb2,icsd_040058,162,trigonal,3.30,3.30,6.26,0.00,0.00,0.00,3.30,6.26,ionic
Ag5Rb1Se3,icsd_050738,125,tetragonal,0.82,0.82,0.77,0.00,0.00,0.00,0.77,0.82,ionic
Ag5S4Sb1,icsd_016987,36,orthorhombic,1.99,1.58,0.97,0.00,0.00,0.00,0.97,1.99,ionic
Al1B2Cr2,icsd_020083,65,orthorhombic,19.39,14.18,12.85,0.00,0.00,0.00,12.85,19.39,ionic
Al1B2Fe2,icsd_023205,65,orthorhombic,9.63,8.42,13.34,0.00,0.00,0.00,8.42,13.34,ionic
Al1B2Mn2,icsd_025518,65,orthorhombic,16.73,14.06,18.24,0.00,0.00,0.00,14.06,18.24,ionic
Al1B4Cr3,icsd_020082,47,orthorhombic,16.30,12.55,12.42,0.00,0.00,0.00,12.42,16.30,ionic
Al1Ba1Ge1,icsd_417662,187,hexagonal,3.23,3.23,1.88,0.00,0.00,0.00,1.88,3.23,ionic
Al1Ba1Si1,icsd_162866,187,hexagonal,4.47,4.47,2.42,0.00,0.00,0.00,2.42,4.47,ionic
Al1Ca1Si1,icsd_155192,143,trigonal,3.44,3.44,2.58,0.00,0.00,0.00,2.58,3.44,ionic
Al1Ca1Si1,icsd_155193,173,hexagonal,4.01,4.01,2.64,0.00,0.00,0.00,2.64,4.01,ionic
Al1Ca1Si1,icsd_162864,187,hexagonal,9.49,9.49,3.25,0.00,0.00,0.00,3.25,9.49,ionic
Al1Co2Si2,icsd_043353,164,trigonal,9.84,9.84,15.07,0.00,0.00,0.00,9.84,15.07,ionic
Al1F4K1,icsd_060525,11,monoclinic,4.71,5.42,2.47,0.00,2.01,0.00,1.30,5.89,ionic
Al1F4K1,icsd_077913,123,tetragonal,9.40,9.40,3.23,0.00,0.00,0.00,3.23,9.40,ionic
Al1F4K1,icsd_201948,127,tetragonal,4.15,4.15,2.89,0.00,0.00,0.00,2.89,4.15,ionic
Al1F4Rb1,icsd_054119,123,tetragonal,7.19,7.19,2.79,0.00,0.00,0.00,2.79,7.19,ionic
Al1F4Rb1,icsd_054120,127,tetragonal,3.12,3.12,2.31,0.00,0.00,0.00,2.31,3.12,ionic
Al1F4Rb1,icsd_054122,59,orthorhombic,2.48,2.47,1.78,0.00,0.00,0.00,1.78,2.48,ionic
Al1F4Rb1,icsd_077914,123,tetragonal,6.83,6.83,2.70,0.00,0.00,0.00,2.70,6.83,ionic
Al1F4Tl1,icsd_200637,123,tetragonal,4.24,4.24,1.68,0.00,0.00,0.00,1.68,4.24,ionic
Al1F4Tl1,icsd_202453,123,tetragonal,4.24,4.24,1.68,0.00,0.00,0.00,1.68,4.24,ionic
Al1F4Tl1,icsd_202455,140,tetragonal,2.15,2.15,1.55,0.00,0.00,0.00,1.55,2.15,ionic
Al1F4Tl1,icsd_202458,15,monoclinic,2.07,2.14,1.56,0.00,0.93,0.00,0.85,2.78,ionic
Al1Ge1Mn1,icsd_657172,129,tetragonal,4.83,4.83,5.13,0.00,0.00,0.00,4.83,5.13,ionic
Al1Ge1Na1,icsd_010147,129,tetragonal,3.10,3.10,2.23,0.00,0.00,0.00,2.23,3.10,ionic
Al1Ge1Sr1,icsd_418391,187,hexagonal,4.21,4.21,1.94,0.00,0.00,0.00,1.94,4.21,ionic
Al1Ge1Y1,icsd_076295,63,orthorhombic,3.47,3.26,4.17,0.00,0.00,0.00,3.26,4.17,ionic
Al1K1Te2,icsd_411171,15,monoclinic,1.05,1.06,0.85,0.00,0.55,0.00,0.39,1.51,ionic
Al1La1Si2,icsd_094502,164,trigonal,2.69,2.69,3.02,0.00,0.00,0.00,2.69,3.02,ionic
Al1Li1O2,icsd_028288,166,trigonal,64.48,64.48,24.43,0.00,0.00,0.00,24.43,64.48,ionic
Al1Li1O2,icsd_099517,141,tetragonal,40.08,40.08,24.98,0.00,0.00,0.00,24.98,40.08,ionic
Al1Mo4S8,icsd_036564,160,trigonal,7.91,7.91,8.04,0.00,0.00,0.00,7.91,8.04,ionic
Al1N1Ti2,icsd_603608,194,hexagonal,13.80,13.80,12.99,0.00,0.00,0.00,12.99,13.80,ionic
Al1N1Zr2,icsd_157764,194,hexagonal,8.97,8.97,8.83,0.00,0.00,0.00,8.83,8.97,ionic
Al1N3Nb4,icsd_181352,194,hexagonal,9.06,9.06,10.06,0.00,0.00,0.00,9.06,10.06,ionic
Al1N3Ta4,icsd_181350,194,hexagonal,3.94,3.94,4.43,0.00,0.00,0.00,3.94,4.43,ionic
Al1N3Ti4,icsd_091772,194,hexagonal,12.36,12.36,11.91,0.00,0.00,0.00,11.91,12.36,ionic
Al1N3V4,icsd_181351,194,hexagonal,13.17,13.17,14.61,0.00,0.00,0.00,13.17,14.61,ionic
Al1Na1O2,icsd_022216,166,trigonal,40.65,40.65,25.80,0.00,0.00,0.00,25.80,40.65,ionic
Al1Na1Se2,icsd_300173,15,monoclinic,1.53,1.51,1.36,0.00,0.72,0.00,0.73,2.17,ionic
Al1Na1Si1,icsd_010146,129,tetragonal,5.05,5.05,3.35,0.00,0.00,0.00,3.35,5.05,ionic
Al1O3Sc1,icsd_086931,62,orthorhombic,21.99,25.99,16.83,0.00,0.00,0.00,16.83,25.99,ionic
Al1O3Y1,icsd_027100,194,hexagonal,22.39,22.39,32.49,0.00,0.00,0.00,22.39,32.49,ionic
Al1S2Tl1,icsd_609264,15,monoclinic,1.21,1.21,0.94,0.00,0.59,0.00,0.47,1.68,ionic
Al1Sc2Si2,icsd_052653,127,tetragonal,4.57,4.57,4.75,0.00,0.00,0.00,4.57,4.75,ionic
Al1Se2Tl1,icsd_609323,15,monoclinic,0.95,0.95,0.76,0.00,0.46,0.00,0.39,1.33,ionic
Al1Si1Sr1,icsd_158842,187,hexagonal,6.69,6.69,2.67,0.00,0.00,0.00,2.67,6.69,ionic
Al1Si1Y1,icsd_099138,63,orthorhombic,5.39,5.17,5.65,0.00,0.00,0.00,5.17,5.65,ionic
Al1Si2Y2,icsd_092450,71,orthorhombic,6.04,5.25,4.97,0.00,0.00,0.00,4.97,6.04,ionic
Al2As4Ca3,icsd_060161,15,monoclinic,3.35,4.08,2.51,0.00,1.34,0.00,1.53,4.33,ionic
Al2As4Sr3,icsd_423787,15,monoclinic,2.48,3.12,2.05,0.00,1.42,0.00,0.83,3.70,ionic
Al2Ba1Ge2,icsd_098515,139,tetragonal,2.10,2.10,1.16,0.00,0.00,0.00,1.16,2.10,ionic
Al2Ba1Si2,icsd_153384,63,orthorhombic,2.84,3.03,2.36,0.00,0.00,0.00,2.36,3.03,ionic
Al2Ba1Si2,icsd_153385,139,tetragonal,3.30,3.30,1.56,0.00,0.00,0.00,1.56,3.30,ionic
Al2Ca1Ge2,icsd_412119,164,trigonal,5.85,5.85,5.74,0.00,0.00,0.00,5.74,5.85,ionic
Al2Ca1Si2,icsd_020278,164,trigonal,14.50,14.50,10.30,0.00,0.00,0.00,10.30,14.50,ionic
Al2Ca3N4,icsd_280347,14,monoclinic,6.38,6.24,8.00,0.00,3.73,0.00,3.38,11.00,ionic
Al2Ca3N4,icsd_280349,15,monoclinic,10.36,10.89,9.64,0.00,6.26,0.00,3.74,16.26,ionic
Al2Ca3P4,icsd_423780,15,monoclinic,5.40,6.82,4.07,0.00,3.53,0.00,1.14,8.32,ionic
Al2Ge1La2,icsd_423614,63,orthorhombic,2.12,2.47,2.00,0.00,0.00,0.00,2.00,2.47,ionic
Al2Ge2La1,icsd_412120,164,trigonal,3.11,3.11,2.97,0.00,0.00,0.00,2.97,3.11,ionic
Al2Ge2Y1,icsd_039053,164,trigonal,4.12,4.12,3.62,0.00,0.00,0.00,3.62,4.12,ionic
Al2Ge4Sr3,icsd_417968,12,monoclinic,1.81,2.35,2.28,0.00,0.87,0.00,1.14,2.94,ionic
